title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Radioactive Radiation in Daily Life,radio,used by archeologists or geochronologists to determine the age of fossil and artifacts / digunakan oleh ahli arkeologi atau geokronologi untuk menentukan usia objek atau bahan purba,Carbon-14 / Karbon-14,Beta radiation / Sinar Beta,Phosphorus-32 / Fosforus-32,Caesium-137 / Sesium-137,Cobalt-60 / Kobalt-60,Sodium-24 / Natrium-24,Iodine-131 / Iodin-131,Technetium-99 / Teknetium-99,,,A,
,radio,Monitoring the thickness of metal sheets / Kawalan ketebalan kepingan logam,Carbon-14 / Karbon-14,Beta radiation / Sinar Beta,Phosphorus-32 / Fosforus-32,Caesium-137 / Sesium-137,Cobalt-60 / Kobalt-60,Sodium-24 / Natrium-24,Iodine-131 / Iodin-131,Technetium-99 / Teknetium-99,,,B,
,radio,to determine the absorption rate of phosphate fertiliser in plants / untuk menentukan kadar penyerapan baja fosfat dalam tumbuhan,Carbon-14 / Karbon-14,Beta radiation / Sinar Beta,Phosphorus-32 / Fosforus-32,Caesium-137 / Sesium-137,Cobalt-60 / Kobalt-60,Sodium-24 / Natrium-24,Iodine-131 / Iodin-131,Technetium-99 / Teknetium-99,,,C,
,checkbox,to kill cancer cells / untuk membunuh sel kanser,Carbon-14 / Karbon-14,Beta radiation / Sinar Beta,Phosphorus-32 / Fosforus-32,Caesium-137 / Sesium-137,Cobalt-60 / Kobalt-60,Sodium-24 / Natrium-24,Iodine-131 / Iodin-131,Technetium-99 / Teknetium-99,,,"D,E",
,radio,to determine the location of blood clots / untuk menentukan tempat bekuan darah,Carbon-14 / Karbon-14,Beta radiation / Sinar Beta,Phosphorus-32 / Fosforus-32,Caesium-137 / Sesium-137,Cobalt-60 / Kobalt-60,Sodium-24 / Natrium-24,Iodine-131 / Iodin-131,Technetium-99 / Teknetium-99,,,F,
,radio,destroy germs / membasmi kuman,Carbon-14 / Karbon-14,Beta radiation / Sinar Beta,Phosphorus-32 / Fosforus-32,Caesium-137 / Sesium-137,Cobalt-60 / Kobalt-60,Sodium-24 / Natrium-24,Iodine-131 / Iodin-131,Technetium-99 / Teknetium-99,,,F,
,radio,treat thyroid glands / merawat kelenjar tiroid,Carbon-14 / Karbon-14,Beta radiation / Sinar Beta,Phosphorus-32 / Fosforus-32,Caesium-137 / Sesium-137,Cobalt-60 / Kobalt-60,Sodium-24 / Natrium-24,Iodine-131 / Iodin-131,Technetium-99 / Teknetium-99,,,G,
,radio,treat tumours in the brain / merawat tumor di dalam otak,Carbon-14 / Karbon-14,Beta radiation / Sinar Beta,Phosphorus-32 / Fosforus-32,Caesium-137 / Sesium-137,Cobalt-60 / Kobalt-60,Sodium-24 / Natrium-24,Iodine-131 / Iodin-131,Technetium-99 / Teknetium-99,,,H,
,text,侦测化石年龄的方法,,,,,,,,,,,"carbon-14 dating,carbon dating,pentarikhan karbon,pentarikhan karbon-14",
,radio,什么金属能防辐射？,Aluminium,Zinc / Zink,Iron / Ferum,Tin / Timah,Lead / Plumbum,,,,,,E,
