title,type,question,A,B,C,D,E,F,answer,image
Process of Iron Extraction,radio,哪个会形成 Iron / Ferum ?,Iron ore / Bijih besi,Coke / Arang kok,Limestone / Batu kapur,Sand / Pasir,,,A,
,radio,哪个提供 Carbon / Karbon ?,Iron ore / Bijih besi,Coke / Arang kok,Limestone / Batu kapur,Sand / Pasir,,,B,
,radio,哪个是 Calcium carbonate / Kalsium karbonat ?,Iron ore / Bijih besi,Coke / Arang kok,Limestone / Batu kapur,Sand / Pasir,,,C,
,radio,哪个是 Silicon dioxide / Silikon dioksida ?,Iron ore / Bijih besi,Coke / Arang kok,Limestone / Batu kapur,Sand / Pasir,,,D,
,radio,Coke / Arang kok 有什么用？,Provide carbon to form reducing agent / Menyediakan karbon untuk membentuk agen penurunan,To form calcium oxide / Untuk membentuk kalsium oksida,To remove impurities / Untuk menyinkirkan bendasing,,,,A,
,radio,为什么要加热 Limestone / Batu kapur ?,Provide carbon to form reducing agent / Menyediakan karbon untuk membentuk agen penurunan,To form calcium oxide / Untuk membentuk kalsium oksida,To remove impurities / Untuk menyinkirkan bendasing,,,,B,
,radio,Limestone / Batu kapur 有什么用？,Provide carbon to form reducing agent / Menyediakan karbon untuk membentuk agen penurunan,To form calcium oxide / Untuk membentuk kalsium oksida,To remove impurities / Untuk menyinkirkan bendasing,,,,C,
,radio,Limestone / Batu kapur 和 Sand / Pair 最后会形成,,,,,,,"slag,sanga",
,radio,Slag / Sanga 有什么用？,To make the base of buildings and roads / Untuk membuat tapak bangunan dan jalan,Used as a raw material for making glass and ceramics / Digunakan sebagai bahan mentah untuk membuat kaca dan seramik,Processed into animal feed supplements / Diproses menjadi makanan tambahan untuk haiwan,,,,A,
,radio,Slag / Sanga 会在,Molten Iron / Leburan Besi 的上面,Molten Iron / Leburan Besi 的下面,,,,,A,
