title,type,question,A,B,C,D,E,F,answer,image
Exchange of Gases,radio,Exchange of gases is due to / Pertukaran gas mengikut,different concentration / perbezaan kepekatan,different temperature / perbezaan suhu,different pressure / perbezaan tekanan,different volume / perbezaan isi padu,,,A,
,text,气体进出肺泡/微血管的process / process,,,,,,,"diffusion,resapan",
,text,Haemoglobin + oxygen = / Hemoglobin + oksigen =,,,,,,,"oxyhaemoglobin,oksihemoglobin",
,radio,哪个是cellular respiration / respirasi sel,Glucose + oxygen → carbon dioxide + water + energy / Glukosa + oksigen → karbon dioksida + air + tenaga,Glucose + nitrogen → carbon dioxide + water + energy / Glukosa + nitrogen → karbon dioksida + air + tenaga,Glucose + oxygen → ethanol + carbon dioxide + energy / Glukosa + oksigen → etanol + karbon dioksida + tenaga,Water + oxygen → glucose + carbon dioxide + energy / Air + oksigen → glukosa + karbon dioksida + tenaga,,,A,
,checkbox,Adaptations of the alveolar structure / Adaptasi struktur alveolus,thin walls / dinding yang nipis,thick walls / dinding yang tebal,one cell thick / ketebalan satu sel,one cell thin / kenipisan satu sel,,,"A,C",
,checkbox,Adaptations of the alveolar structure / Adaptasi struktur alveolus,moist wall / dinding yang lembap,dry wall / dinding yang kering,large surface area / luas permukaan yang besar,small surface area / luas permukaan yang kecil,,,"A,C",
,radio,Adaptations of the alveolar structure / Adaptasi struktur alveolus,covered by a compact network of capillaries / diliputi jaringan kapilari yang padat,Lined with thick layers of cells / Dilapisi oleh lapisan sel yang tebal,Contain large muscles for contraction / Mengandungi otot besar untuk pengecutan,impermeable to gases / Tidak telap kepada gas,,,A,
,checkbox,alveolus,higher concentration of oxygen / kepekatan oksigen yang tinggi,lower concentration of oxygen / kepekatan oksigen yang rendah,higher concentration of carbon dioxide / kepekatan karbon dioksida yang tinggi,lower concentration of carbon dioxide / kepekatan karbon dioksida yang rendah,,,"A,D",
,checkbox,blood in capillaries before gaseous exchange with alveolus / darah dalam kapilari sebelum pertukaran gas dengan alveolus,higher concentration of oxygen / kepekatan oksigen yang tinggi,lower concentration of oxygen / kepekatan oksigen yang rendah,higher concentration of carbon dioxide / kepekatan karbon dioksida yang tinggi,lower concentration of carbon dioxide / kepekatan karbon dioksida yang rendah,,,"B,C",
,checkbox,blood in capillaries after gaseous exchange with alveolus / darah dalam kapilari selepas pertukaran gas dengan alveolus,higher concentration of oxygen / kepekatan oksigen yang tinggi,lower concentration of oxygen / kepekatan oksigen yang rendah,higher concentration of carbon dioxide / kepekatan karbon dioksida yang tinggi,lower concentration of carbon dioxide / kepekatan karbon dioksida yang rendah,,,"A,D",
