title,type,question,A,B,C,D,E,F,answer,image
Vision + Hearing,radio,Human / Manusia,Monocular vision / Penglihatan monokular,Stereoscopic vision / Penglihatan stereoskopik,,,,,B,
,radio,Cat / Kucing,Monocular vision / Penglihatan monokular,Stereoscopic vision / Penglihatan stereoskopik,,,,,B,
,radio,Owl / Burung hantu,Monocular vision / Penglihatan monokular,Stereoscopic vision / Penglihatan stereoskopik,,,,,B,
,radio,Rats / Tikus,Monocular vision / Penglihatan monokular,Stereoscopic vision / Penglihatan stereoskopik,,,,,A,
,radio,Chicken / Ayam,Monocular vision / Penglihatan monokular,Stereoscopic vision / Penglihatan stereoskopik,,,,,A,
,radio,Rabbit / Arnab,Monocular vision / Penglihatan monokular,Stereoscopic vision / Penglihatan stereoskopik,,,,,A,
,radio,Both eyes located in front of the head / Kedua-dua mata terletak di hadapan kepala,Monocular vision / Penglihatan monokular,Stereoscopic vision / Penglihatan stereoskopik,,,,,B,
,radio,A narrow field of vision / Keluasan medan penglihatan kecil,Monocular vision / Penglihatan monokular,Stereoscopic vision / Penglihatan stereoskopik,,,,,B,
,radio,Overlapping fields of vision produce vision in three dimensions / Medan penglihatan bertindih memberikan penglihatan dalam bentuk tiga dimensi.,Monocular vision / Penglihatan monokular,Stereoscopic vision / Penglihatan stereoskopik,,,,,B,
,radio,"allow the distance, size and depth of objects to be estimated accurately / membolehkan jarak, saiz dan kedalaman objek dianggar dengan lebih tepat.",Monocular vision / Penglihatan monokular,Stereoscopic vision / Penglihatan stereoskopik,,,,,B,
,radio,predators / pemangsa,Monocular vision / Penglihatan monokular,Stereoscopic vision / Penglihatan stereoskopik,,,,,B,
,radio,prey / mangsa,Monocular vision / Penglihatan monokular,Stereoscopic vision / Penglihatan stereoskopik,,,,,A,
,radio,Two dimensional images formed in the non-overlapping fields of vision / Imej dua dimensi yang terbentuk di dalam medan penglihatan yang tidak bertindih,Monocular vision / Penglihatan monokular,Stereoscopic vision / Penglihatan stereoskopik,,,,,A,
,radio,Fields of vision do not overlap or overlap only slightly / Medan penglihatan yang tidak bertindih atau bertindih sedikit sahaja.,Monocular vision / Penglihatan monokular,Stereoscopic vision / Penglihatan stereoskopik,,,,,A,
,radio,A wide field of vision / Keluasan medan penglihatan besar,Monocular vision / Penglihatan monokular,Stereoscopic vision / Penglihatan stereoskopik,,,,,A,
,radio,Both eyes located at the sides of the head / Kedua-dua mata terletak di sisi kepala,Monocular vision / Penglihatan monokular,Stereoscopic vision / Penglihatan stereoskopik,,,,,A,
,radio,立体声听觉的用途,determine the direction of the sound accurately / menentukan arah bunyi dengan tepat,measure the strength of the sound accurately / mengukur kekuatan bunyi dengan tepat /,identify the type of sound accurately / Mengenali jenis bunyi dengan tepat,determine the distance of the sound source accurately / Menentukan jarak sumber bunyi dengan tepat,,,A,
,text,立体声听觉的英文/马来文是,,,,,,,"stereophonic hearing,pendengaran stereofonik",
