title,type,question,A,B,C,D,E,F,answer,image
Human Nervous System,checkbox,Central Nervous System / Sistem Saraf Pusat 有什么？,Brain / Otak,Spinal Cord / Saraf Tunjang,Cranial Nerve / Saraf Kranium,Spinal Nerve / Saraf Spina,,,"A,B",
,checkbox,Peripheral Nervous System / Sistem Saraf Periferi 有什么？,Brain / Otak,Spinal Cord / Saraf Tunjang,Cranial Nerve / Saraf Kranium,Spinal Nerve / Saraf Spina,,,"C,D",
,radio,Voluntary action / Tindak balas terkawal 由谁控制,Brain / Otak,Spinal Cord / Saraf Tunjang,Medulla Oblongata / Medula Oblongata,,,,A,
,radio,Reflex action / Tindak balas refleks 由谁控制,Brain / Otak,Spinal Cord / Saraf Tunjang,Medulla Oblongata / Medula Oblongata,,,,B,
,checkbox,Involuntary action / Tindak balas luar kawal 由谁控制,Brain / Otak,Spinal Cord / Saraf Tunjang,Medulla Oblongata / Medula Oblongata,,,,"B,C",
,radio,Heartbeat / Denyutan Jantung 由谁控制,Brain / Otak,Spinal Cord / Saraf Tunjang,Medulla Oblongata / Medula Oblongata,,,,C,
,radio,Breathing / Pernafasan 由谁控制,Brain / Otak,Spinal Cord / Saraf Tunjang,Medulla Oblongata / Medula Oblongata,,,,C,
,radio,Peristalsis 由谁控制,Brain / Otak,Spinal Cord / Saraf Tunjang,Medulla Oblongata / Medula Oblongata,,,,C,
,radio,Secretion of salive / Rembesan air liur 由谁控制,Brain / Otak,Spinal Cord / Saraf Tunjang,Medulla Oblongata / Medula Oblongata,,,,C,
,radio,Withdrawing hand when it accidentally touches a hot object / Menarik tangan apabila tersentuh benda panas 由谁控制,Brain / Otak,Spinal Cord / Saraf Tunjang,Medulla Oblongata / Medula Oblongata,,,,B,
,radio,Withdrawing foot when it accidentally steps on a sharp object / Menarik kaki apabila terpijak benda tajam 由谁控制,Brain / Otak,Spinal Cord / Saraf Tunjang,Medulla Oblongata / Medula Oblongata,,,,B,
,radio,Sneezing when dust enters the nose / Bersin apabila habuk masuk ke dalam hidung 由谁控制,Brain / Otak,Spinal Cord / Saraf Tunjang,Medulla Oblongata / Medula Oblongata,,,,B,
,radio,Dancing / Menari 由谁控制,Brain / Otak,Spinal Cord / Saraf Tunjang,Medulla Oblongata / Medula Oblongata,,,,A,
,radio,Reading / Membaca 由谁控制,Brain / Otak,Spinal Cord / Saraf Tunjang,Medulla Oblongata / Medula Oblongata,,,,A,
,radio,Writing / Menulis 由谁控制,Brain / Otak,Spinal Cord / Saraf Tunjang,Medulla Oblongata / Medula Oblongata,,,,A,
,radio,"Stimulus / Rangsangan  →  A → Brain → B → Response / Gerak balas
A 是?",A: Receptor / Reseptor,A: Affector / Afektor,A: Effector / Efektor,,,,"A,B",
,radio,"Stimulus / Rangsangan  →  A → Brain → B → Response / Gerak balas
B是?",B: Receptor / Reseptor,B: Affector / Afektor,B: Effector / Efektor,,,,F,
,text,控制 involuntary action / tindak balas luar kawal 的脑干的 英文/马来文 是,,,,,,,"medulla oblongata,medula oblongata",
